724,506,438,410,295,278,207,211,242,256,132,201,114,157,83,159,115,94,66,106,70,77,33,63,51
428,267,238,209,168,148,93,93,137,149,51,112,68,84,41,95,72,44,34,73,26,39,21,27,35
366,208,190,168,145,116,77,82,97,128,49,81,48,74,38,86,56,31,24,67,25,38,13,28,42
300,134,131,115,128,73,63,61,71,88,38,53,28,44,22,64,49,29,18,57,22,24,7,14,22
334,219,200,200,146,141,106,107,105,131,72,85,47,71,58,87,61,49,43,57,39,41,20,29,35
374,220,212,190,136,144,97,102,119,140,63,99,56,69,41,86,69,38,36,54,31,38,19,29,31
269,115,108,95,112,60,47,43,58,74,30,37,22,39,25,43,41,18,20,58,18,21,5,10,22
239,103,104,88,111,59,43,45,54,66,26,44,21,39,15,34,33,22,11,49,17,24,4,15,22
317,170,161,142,124,103,62,59,82,98,34,75,47,58,42,74,58,25,26,58,14,36,16,18,28
302,188,175,166,117,106,76,77,99,118,44,75,41,69,41,83,54,33,24,60,18,30,13,25,29
252,111,106,85,111,58,46,49,58,69,28,40,16,36,22,54,39,18,13,52,14,26,10,13,17
274,207,178,183,119,139,93,91,100,122,59,78,54,59,44,67,48,35,37,35,26,39,18,18,26
188,83,86,69,87,51,35,34,44,55,22,34,12,28,25,35,31,11,14,40,12,19,6,11,19
336,206,186,178,158,124,92,95,101,128,58,91,42,73,46,85,62,41,33,77,27,37,16,28,33
281,190,160,158,105,108,66,64,91,97,39,76,44,62,36,79,44,24,20,34,23,33,16,22,24
156,61,58,45,67,28,17,21,33,40,9,30,13,21,10,26,25,7,10,38,6,12,3,9,16
235,135,122,124,101,83,51,49,65,84,31,54,40,47,30,49,42,16,20,45,18,27,8,22,32
214,104,105,86,92,60,52,51,46,77,32,39,21,33,27,37,47,22,15,42,20,19,5,16,28
262,158,138,127,118,85,66,67,81,81,38,69,39,53,32,71,49,27,22,60,16,22,9,22,28
199,81,85,62,91,42,30,30,43,44,19,40,15,34,9,37,34,10,10,41,10,15,4,13,13
234,136,136,124,92,86,63,57,72,87,29,65,33,40,29,63,39,18,22,45,17,30,13,16,20
236,145,141,128,84,96,68,62,85,96,36,69,30,42,32,60,46,28,26,31,19,33,10,12,13
217,126,114,109,80,89,40,36,59,68,20,50,48,40,26,57,40,11,28,28,9,23,10,8,16
251,153,143,122,113,95,59,56,86,84,31,70,37,43,33,67,43,25,21,40,16,27,11,12,14
206,122,114,99,72,69,44,45,61,68,27,47,26,34,19,55,29,20,20,40,11,25,6,12,21
