sars_covid_2,count
transmission,4510
membrane,2710
immune response,1714
genomic,1630
pandemic,1022
pathogenicity,810
virion,772
virions,710
immune response.,612
incubation period,570
nucleocapsid,407
immune response,,403
virulence factors,371
nucleic acids,351
SARS,311
contagious,293
transmissibility,231
viral envelope,211
reassortment,204
Centers for Disease Control and Prevention,196
cell entry,143
incubation period,,137
coronaviruses,101
nucleic acids.,100
case fatality rate,99
fusion peptide,96
virulence factors,,93
virulence factors.,91
basic reproduction number,89
Centers for Disease Control and Prevention.,80
incubation period.,79
SARS-CoV,63
Centers for Disease Control and Prevention,,62
nucleic acids,,62
cell entry.,48
Middle East respiratory syndrome,41
viral envelope.,40
229E,38
viral species,36
Guangzhou,34
NL63,33
MERS-CoV,32
cell entry,,32
Coronaviridae,30
OC43,30
basic reproduction number,,27
viral envelope,,25
respiratory droplets,23
immune response;,23
HKU1,22
positive-sense single-stranded RNA,20
Nidovirales,20
Wuhan,19
fusion peptide.,17
Severe acute respiratory syndrome coronavirus,17
Betacoronavirus,16
basic reproduction number.,14
immune response?,12
case fatality rate.,12
viral species,,12
traditional Chinese medicine,12
incubation period;,9
respiratory droplets,,8
Centers for Disease Control and Prevention;,8
fusion peptide,,8
nucleic acids;,8
respiratory droplets.,7
TMPRSS2,6
case fatality rate,,6
virulence factors?,4
viral envelope;,4
Yunnan province,4
viral species.,4
cell entry;,3
horseshoe bats,3
Rhinolophus affinis,3
Severe acute respiratory syndrome-related coronavirus,3
Rhinolophus sinicus,3
horseshoe bats.,2
virulence factors;,2
cell entry?,2
traditional Chinese medicine.,2
fusion peptide;,2
Yunnan province,,2
Rhinolophus affinis.,1
Severe acute respiratory syndrome coronavirus.,1
angiotensin converting enzyme 2,1
traditional Chinese medicine,,1
pangolin,1
Hubei province,1
traditional Chinese medicine;,1
